"1","40","560","700","1120","420","0:03:00","20",,,"0"
"2","80","840","1060","1680","640","0:06:00","360",,"Infantry","15"
"3","100","1260","1580","2520","940","3:12:00","11520",,,"0"
"4","160","1900","2360","3780","1420","6:24:00","23040",,,"0"
"5","220","2840","3540","5680","2120","11:31:12","41472",,,"0"
"6","300","4260","5320","8500","3180","23:57:42","86262",,,"0"
"7","420","6380","7980","12760","4780","1d 3:33:22","99202",,,"0"
"8","580","9560","11960","19140","7180","1d 7:41:22","114082",,,"0"
"9","820","14360","17940","28700","10760","2d 12:26:34","217594",,,"0"
"10","1140","21520","26920","43060","16140","3d 17:54:34","323674",,,"0"
"11","1600","32300","40360","64580","24220","5d 0:11:44","432704",,,"0"
"12","2240","48440","60540","96880","36320","7d 7:25:32","631532",,,"0"
"13","3120","72660","90820","145320","54500","10d 13:20:00","912000",,,"0"
"14","4380","108980","136240","217980","81740","12d 1:18:00","1041480",,,"0"
"15","6120","163480","204360","326960","122620","15d 5:16:00","1314960",,,"0"
"16","8580","245220","306520","490440","183920","17d 9:21:00","1502460",,,"0"
"17","12000","367840","459780","735660","275880","20d 5:21:00","1747260",,,"0"
"18","16800","551740","689680","1103500","413800","24d 3:35:48","2086548",,,"0"
"19","23520","827620","1034520","1655240","620720","52d 16:04:00","4550640",,,"0"
"20","32900","1241420","1551760","2482860","931040","156d 20:15:30","13551330",,,"0"
