
 logChangeDetail: 2018-10-22T09:01:20.851Z: 1
 logChangeDetail: 2018-10-22T09:01:23.497Z: 0
 logChangeDetail: 2018-10-22T09:02:01.212Z: 1
 logChangeDetail: 2018-10-22T09:02:03.622Z: 0
 logChangeDetail: 2018-10-22T09:02:29.102Z: 1
 logChangeDetail: 2018-10-22T09:02:32.481Z: 0
 logChangeDetail: 2018-10-22T09:02:56.272Z: 1
 logChangeDetail: 2018-10-22T09:02:58.989Z: 0
 logChangeDetail: 2018-10-22T09:03:43.398Z: 1
 logChangeDetail: 2018-10-22T09:03:50.792Z: 0
 logChangeDetail: 2018-10-22T09:04:35.643Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:04:38.906Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:09:45.959Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:09:53.713Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:29:45.304Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:30:14.061Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:30:14.310Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:30:18.894Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:30:40.107Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:30:44.184Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:30:54.110Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:31:11.159Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:31:17.081Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:31:45.171Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:31:48.381Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:32:11.927Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:32:13.312Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:32:17.277Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:32:18.288Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:32:36.563Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:32:42.021Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:32:53.016Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:32:54.248Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:33:45.053Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:33:51.503Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:37:37.306Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:38:02.246Z: userConnected: 0
 logChangeDetail: 2018-10-22T09:38:29.205Z: userConnected: 1
 logChangeDetail: 2018-10-22T09:38:30.482Z: userConnected: 0
