
 logChangeDetail: 2018-10-23T02:03:18.768Z: userConnected: 1
 logChangeDetail: 2018-10-23T02:03:24.974Z: userConnected: 0
 logChangeDetail: 2018-10-23T02:05:08.197Z: userConnected: 1
 logChangeDetail: 2018-10-23T02:05:17.488Z: userConnected: 0
 logChangeDetail: 2018-10-23T03:22:30.634Z: userConnected: 1
 logChangeDetail: 2018-10-23T03:30:58.095Z: userConnected: 1
 logChangeDetail: 2018-10-23T03:31:04.827Z: userConnected: 0
 logChangeDetail: 2018-10-23T03:31:09.700Z: userConnected: 1
 logChangeDetail: 2018-10-23T03:44:20.731Z: userConnected: 0
 logChangeDetail: 2018-10-23T03:44:36.549Z: userConnected: 1
 logChangeDetail: 2018-10-23T04:34:54.970Z: userConnected: 1
 logChangeDetail: 2018-10-23T04:36:54.570Z: userConnected: 1
 logChangeDetail: 2018-10-23T04:36:55.265Z: userConnected: 0
 logChangeDetail: 2018-10-23T04:37:01.354Z: userConnected: 1
 logChangeDetail: 2018-10-23T04:37:11.254Z: userConnected: 0
 logChangeDetail: 2018-10-23T04:37:43.119Z: userConnected: 1
 logChangeDetail: 2018-10-23T04:37:46.383Z: userConnected: 0
 logChangeDetail: 2018-10-23T04:41:52.714Z: userConnected: 1
 logChangeDetail: 2018-10-23T07:30:04.051Z: userConnected: 1
 logChangeDetail: 2018-10-23T07:30:04.059Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T07:31:46.901Z: userConnected: 1
 logChangeDetail: 2018-10-23T07:31:46.908Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T07:37:24.946Z: userConnected: 0
 logChangeDetail: 2018-10-23T07:37:24.949Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T07:37:36.414Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T07:37:51.568Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T07:37:58.842Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T07:46:28.552Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T07:46:34.110Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T07:46:39.322Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T07:46:49.540Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T07:55:39.482Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:03:22.405Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:03:37.638Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:24:28.074Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:24:29.806Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:25:29.094Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:25:30.323Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:25:45.651Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:25:48.614Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:25:54.936Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:25:58.357Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:27:27.492Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:27:44.196Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:32:46.710Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:36:34.812Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:36:38.749Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:36:49.409Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:36:53.255Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:39:40.489Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:39:55.259Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:41:52.798Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:42:03.781Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:42:09.538Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:42:27.536Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:54:22.428Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T08:54:46.600Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T08:57:11.739Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T09:03:43.531Z: TaskServer.js: removeUser ConnectUser
 logChangeDetail: 2018-10-23T09:12:41.106Z: TaskServer.js: insertUser ConnectUser
 logChangeDetail: 2018-10-23T09:53:35.621Z: TaskServer.js: removeUser ConnectUser
